Molecule,SMILES,Global: Rot Bonds,Csp2 Count,Fsp3 Count,Osp2 Count,Osp3 Count,Hs Count,Global: bo 1.0,bo 1.0 Csp2-Fsp3,bo 1.0 Hs-Osp3,Global: bo 2.0,bo 2.0 Csp2-Osp2,Csp3 Count,bo 1.0 Csp3-Fsp3,bo 1.0 Csp2-Csp2,bo 1.0 Csp3-Csp3,bo 1.0 Csp2-Hs,bo 2.0 Csp2-Csp2,Csp2-Csp2-Csp3-Fsp3 Torsional Axes,Fsp3-Csp3-Csp2-Hs Torsional Axes,Csp2-Csp2-Csp3-Csp3 Torsional Axes,Csp3-Csp3-Csp2-Hs Torsional Axes,Csp3-Csp3-Csp3-Fsp3 Torsional Axes,Fsp3-Csp3-Csp3-Fsp3 Torsional Axes,Csp2-Csp3-Csp3-Csp3 Torsional Axes,Csp2-Csp3-Csp3-Fsp3 Torsional Axes,Csp3-Csp3-Csp3-Csp3 Torsional Axes,Global: Torsional Axes,bo 2.0 Osp2-Osp2,bo 1.0 Csp2-Osp2,bo 1.0 Hs-Osp2,Csp3-Csp3-Csp2-Osp2 Torsional Axes,Fsp3-Csp3-Csp2-Osp2 Torsional Axes,Csp3-Csp2-Osp2-Hs Torsional Axes,Hs-Osp2-Csp2-Osp2 Torsional Axes,bo 1.0 Csp3-Osp3,Csp3-Csp3-Csp3-Osp3 Torsional Axes,Fsp3-Csp3-Csp3-Osp3 Torsional Axes,Csp3-Csp3-Osp3-Csp3 Torsional Axes,Csp3-Osp3-Csp3-Fsp3 Torsional Axes,Csp2-Csp3-Osp3-Csp3 Torsional Axes,Osp2-Csp2-Csp3-Osp3 Torsional Axes,bo 1.0 Csp3-Hs,Fsp3-Csp3-Csp3-Hs Torsional Axes,Csp3-Csp3-Csp3-Hs Torsional Axes,Csp2-Csp3-Csp3-Hs Torsional Axes,Hs-Csp3-Csp3-Hs Torsional Axes,Hs-Csp3-Csp2-Osp2 Torsional Axes,Csp3-Csp3-Csp2-Fsp3 Torsional Axes,Fsp3-Csp2-Csp3-Fsp3 Torsional Axes,Hs-Csp2-Osp2-Hs Torsional Axes,bo 1.0 Csp3-Osp2,Csp3-Csp3-Csp3-Osp2 Torsional Axes,Fsp3-Csp3-Csp3-Osp2 Torsional Axes,Csp3-Osp2-Csp2-Osp2 Torsional Axes,Csp2-Osp2-Csp3-Csp3 Torsional Axes,Csp2-Osp2-Csp3-Fsp3 Torsional Axes,Csp3-Csp3-Osp3-Hs Torsional Axes,Fsp3-Csp3-Osp3-Hs Torsional Axes,Fsp3-Csp2-Osp2-Hs Torsional Axes,Hs-Csp3-Csp3-Osp3 Torsional Axes,Hs-Csp3-Osp3-Hs Torsional Axes,Csp Count,bo 2.0 Csp-Osp2,bo 1.0 Osp3-Osp3,Csp3-Csp3-Osp3-Osp3 Torsional Axes,Fsp3-Csp3-Osp3-Osp3 Torsional Axes,bo 1.0 Fsp3-Hs,Csp3-Csp2-Osp2-Csp3 Torsional Axes,Csp3-Osp3-Csp3-Osp2 Torsional Axes,Hs-Osp3-Csp3-Osp3 Torsional Axes,Osp3-Csp3-Csp3-Osp3 Torsional Axes,Csp3-Osp3-Csp3-Osp3 Torsional Axes,Fsp3-Csp2-Csp3-Osp3 Torsional Axes,Csp3-Osp3-Csp3-Hs Torsional Axes,a0,a1,a2,a3,a4,H_f_0K,S_300K 
cfo2h,O=C(O)F,0,1,1,2,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.562,0.043465,-3.85e-05,1.66e-08,-2.75e-12,-147.28,63.717
pentane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,0,11,0,0,1,16,0,0,0,0,5,11,0,4,0,0,0,0,0,0,13,18,0,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.373,0.19517,-0.00018633,8.3e-08,-1.4e-11,-556.45,123.18
hexene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,2,12,0,0,0,16,3,0,1,0,4,9,1,3,0,1,2,0,1,0,9,14,1,2,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.802,0.21282,-0.00020922,9.51e-08,-1.63e-11,-567.5,134.2
pfpra,O=C(O)C(F)(F)C(F)(F)F,1,1,5,2,0,1,9,0,0,1,1,2,5,0,2,0,0,0,0,0,0,0,6,0,3,0,17,0,1,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7283,0.12156,-0.00011688,5.2758e-08,-9.0306e-12,0.0,96.243
cf3cfoh,O[C](F)C(F)(F)F,1,0,4,0,1,1,7,0,1,0,0,2,4,0,1,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4323,0.083676,-8.14e-05,3.71e-08,-6.4e-12,-231.88,83.107
c2f4_oh,OC(F)(F)[C](F)F,2,0,4,0,1,1,7,0,1,0,0,2,4,0,1,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5231,0.083345,-8.1e-05,3.69e-08,-6.35e-12,-210.36,24.195
c6_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,0,13,0,0,0,18,0,0,0,0,6,13,0,5,0,0,0,0,0,0,17,19,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.314,0.22917,-0.00022726,1.04e-07,-1.79e-11,-613.03,142.85
tfa,O=C(O)C(F)(F)F,0,1,3,2,0,1,6,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9462,0.08361,-7.93e-05,3.56e-08,-6.09e-12,-250.52,80.676
c6f13oh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,0,13,0,1,1,20,0,1,0,0,6,13,0,5,0,0,0,0,0,0,17,22,0,0,3,48,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.677,0.2534,-0.00025085,1.15e-07,-1.98e-11,-705.78,141.33
c4_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,2,0,9,0,0,0,12,0,0,0,0,4,9,0,3,0,0,0,0,0,0,9,14,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.816,0.15248,-0.00015088,6.88e-08,-1.18e-11,-409.98,114.89
c2f4h2o_prod,OC(F)(F)C(F)F,2,0,4,0,1,2,8,0,1,0,0,2,4,0,1,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0754,0.088753,-7.97e-05,3.44e-08,-5.7e-12,-264.63,80.947
c5f11oh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,0,11,0,1,1,17,0,1,0,0,5,11,0,4,0,0,0,0,0,0,13,18,0,0,2,39,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.013,0.21486,-0.00021245,9.73e-08,-1.68e-11,-608.21,127.61
pfpnal,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,1,10,1,0,0,14,1,0,1,1,4,9,0,4,0,0,0,0,0,0,9,14,1,2,1,33,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.555,0.18749,-0.00018403,8.36e-08,-1.43e-11,-526.63,123.47
pfoa,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,1,15,2,0,1,24,0,0,1,1,7,15,1,6,0,0,0,0,0,0,21,26,1,2,4,62,0,1,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.427,0.3131,-0.00030747,1.4007e-07,-2.4083e-11,0.0,165.67
heptene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,2,14,0,0,0,19,3,0,1,0,5,11,0,5,0,1,2,0,1,0,13,18,1,2,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.372,0.25169,-0.00024804,1.13e-07,-1.94e-11,-665.26,147.34
ester,O=C(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,2,1,10,2,0,0,15,0,0,1,1,4,10,0,3,0,0,0,0,0,0,5,10,0,0,0,29,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.7623,0.20242,-0.00019772,8.94e-08,-1.53e-11,0.0,131.11
c2f4o,O=C(F)C(F)(F)F,0,1,4,1,0,0,5,1,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.197,0.073191,-7.0516e-05,3.1674e-08,-5.393e-12,-246.94,79.899
1H_butane,FC(F)C(F)(F)C(F)(F)C(F)(F)F,2,0,9,0,0,1,13,0,0,0,0,4,9,0,3,0,0,0,0,0,0,9,14,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3837,0.15771,-0.00014929,6.615e-08,-1.1138e-11,0.0,108.5
61_heptene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,2,12,0,0,2,19,1,0,1,0,5,11,1,4,2,1,2,0,1,0,13,18,1,2,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3318,0.24725,-0.00023855,1.0773e-07,-1.8439e-11,0.0,137.79
c2f5oh,OC(F)(F)C(F)(F)F,1,0,5,0,1,1,8,0,1,0,0,2,5,0,1,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7496,0.1002,-9.85e-05,4.52e-08,-7.83e-12,-315.65,84.634
c5_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,0,11,0,0,0,15,0,0,0,0,5,11,0,4,0,0,0,0,0,0,13,18,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.509,0.1821,-0.00017635,7.89e-08,-1.33e-11,-507.44,124.440708
pfhxoh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,0,13,0,1,1,20,0,1,0,0,6,13,0,5,0,0,0,0,0,0,17,22,0,0,3,48,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.626,0.25346,-0.00025086,1.1494e-07,-1.9843e-11,0.0,141.24
cf3ccf2,FC(F)=[C]C(F)(F)F,0,2,5,0,0,0,6,2,0,1,0,1,3,0,1,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.973,0.071301,-6.68e-05,2.93e-08,-4.92e-12,-160.82,90.468
frd_903_0HFAts_prod_minusHF,O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,3,1,10,2,1,0,18,0,0,1,1,5,10,1,3,0,0,0,0,0,0,5,10,0,3,0,33,0,1,0,0,0,0,0,2,1,5,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.2867,0.23195,-0.00022741,1.03e-07,-1.77e-11,0.0,138.47
1_octane_c8_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,0,17,0,0,0,24,0,0,0,0,8,17,0,7,0,0,0,0,0,0,25,30,0,0,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.505,0.30662,-0.00030447,1.39e-07,-2.4e-11,-800.34,166.66
pfooh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,0,17,0,1,1,26,0,1,0,0,8,17,0,7,0,0,0,0,0,0,25,30,0,0,5,66,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.773,0.33121,-0.00032852,1.5062e-07,-2.6011e-11,0.0,168.24
pfeoh,OC(F)(F)C(F)(F)F,1,0,5,0,1,1,8,0,1,0,0,2,5,0,1,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6897,0.10029,-9.858e-05,4.5231e-08,-7.8324e-12,0.0,84.567
52rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,0,11,0,0,5,22,0,0,0,0,7,11,0,6,0,0,0,0,0,0,17,18,0,0,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1028,0.24061,-0.00021253,9.0373e-08,-1.4822e-11,0.0,135.87
1H_hexane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,0,13,0,0,1,19,0,0,0,0,6,13,0,5,0,0,0,0,0,0,17,22,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.97,0.23395,-0.00022503,1.008e-07,-1.7106e-11,0.0,136.86
62rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,0,13,0,0,5,25,0,0,0,0,8,13,0,7,0,0,0,0,0,0,21,22,0,0,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.821,0.279,-0.00025075,1.0789e-07,-1.7842e-11,0.0,149.64
22ftoh,OCCC(F)(F)C(F)(F)F,3,0,5,0,1,5,14,0,1,0,0,4,5,0,3,0,0,0,0,0,0,5,6,0,0,1,30,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3206,0.13602,-0.00010839,4.2523e-08,-6.5343e-12,0.0,100.02
cfoh3,OC(O)(O)F,3,0,1,0,3,3,7,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2.55,0.079268,-7.59e-05,3.52e-08,-6.19e-12,-207.12,71.934
cooh2,O=C(O)O,0,1,0,3,0,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5339,0.053254,-4.67e-05,2.02e-08,-3.39e-12,-145.57,64.209
1_butane,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,2,1,7,2,0,1,12,0,0,1,1,3,7,1,2,0,0,0,0,0,0,5,10,1,2,0,26,0,1,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4932,0.15978,-0.00015489,7.02e-08,-1.2e-11,-430.68,110.04
1H_propane,FC(F)C(F)(F)C(F)(F)F,1,0,7,0,0,1,10,0,0,0,0,3,7,0,2,0,0,0,0,0,0,5,10,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93,0.11846,-0.00010999,4.806e-08,-8.0068e-12,0.0,95.578
n_octane_twisted,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,0,18,0,0,0,25,0,0,0,0,8,18,0,7,0,0,0,0,0,0,26,32,0,0,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.412,0.32398,-0.00032223,1.48e-07,-2.54e-11,-909.28,166.526512
c4f9oh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,0,9,0,1,1,14,0,1,0,0,4,9,0,3,0,0,0,0,0,0,9,14,0,0,1,30,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3241,0.17634,-0.00017406,7.97e-08,-1.38e-11,-510.19,113.68
cf2o_2h2oprod,O.OC(O)(F)F,2,0,2,0,3,4,8,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8.1811,0.088948,-8.59e-05,4.05e-08,-7.26e-12,-295.56,88.046
32ftoh,OCCC(F)(F)C(F)(F)C(F)(F)F,4,0,7,0,1,5,17,0,1,0,0,5,7,0,4,0,0,0,0,0,0,9,10,0,0,2,39,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1538,0.17364,-0.00014538,5.9317e-08,-9.4119e-12,0.0,118.37
butene_OH,OC(F)(F)[C](F)C(F)(F)C(F)(F)F,3,0,8,0,1,1,13,0,1,0,0,4,8,0,3,0,0,0,0,0,0,8,10,0,0,1,24,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.959,0.16092,-0.00015895,7.29e-08,-1.26e-11,-419.97,44.901
pfhpa,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,1,13,2,0,1,21,0,0,1,1,6,13,1,5,0,0,0,0,0,0,17,22,1,2,3,53,0,1,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.704,0.27473,-0.00026927,1.2256e-07,-2.1063e-11,0.0,151.73
hexane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,0,13,0,0,1,19,0,0,0,0,6,13,0,5,0,0,0,0,0,0,17,22,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.96,0.23396,-0.00022504,1.01e-07,-1.71e-11,-654.01,136.85
1H_decane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,0,21,0,0,1,31,0,0,0,0,10,21,0,9,0,0,0,0,0,0,33,38,0,0,7,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.974,0.38707,-0.00037737,1.7058e-07,-2.9135e-11,0.0,193.25
71_octene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,2,14,0,0,2,22,1,0,1,0,6,13,1,5,2,1,2,0,1,0,17,22,1,2,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.221,0.28505,-0.00027604,1.2486e-07,-2.1385e-11,0.0,152.36
heptane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,0,16,0,0,0,22,0,0,0,0,7,16,0,6,0,0,0,0,0,0,22,28,0,0,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.078,0.28431,-0.00028241,1.29e-07,-2.22e-11,-811.67,153.808976
hexane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,0,14,0,0,0,19,0,0,0,0,6,14,0,5,0,0,0,0,0,0,18,24,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36,0.24597,-0.00024426,1.1171e-07,-1.9232e-11,-713.26,139.81
32rh,CCC(F)(F)C(F)(F)C(F)(F)F,3,0,7,0,0,5,16,0,0,0,0,5,7,0,4,0,0,0,0,0,0,9,10,0,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7499,0.1636,-0.00013583,5.521e-08,-8.7559e-12,0.0,108.8
c2f3_o,O=C(F)[C](F)F,1,1,3,1,0,0,4,1,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1063,0.052812,-4.91e-05,2.15e-08,-3.61e-12,-146.25,76.899
43_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,1,9,2,0,5,21,0,0,1,1,6,9,0,6,0,0,0,0,0,0,13,14,1,0,3,53,0,1,1,2,0,1,1,0,0,0,0,0,0,0,4,4,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2844,0.24349,-0.00021528,9.162e-08,-1.5028e-11,0.0,140.15
1H_pentane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,0,11,0,0,1,16,0,0,0,0,5,11,0,4,0,0,0,0,0,0,13,18,0,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3716,0.19518,-0.00018634,8.3041e-08,-1.4038e-11,0.0,123.17
c3f7oh,OC(F)(F)C(F)(F)C(F)(F)F,2,0,7,0,1,1,11,0,1,0,0,3,7,0,2,0,0,0,0,0,0,5,10,0,0,0,21,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8733,0.13708,-0.0001347,6.16e-08,-1.06e-11,-412.21,101.53
propene,FC(F)=C(F)C(F)(F)F,0,2,6,0,0,0,7,3,0,1,0,1,3,0,1,0,1,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3689,0.09903,-9.65e-05,4.37e-08,-7.48e-12,-264.42,89.765305
butane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)F,2,0,9,0,0,1,13,0,0,0,0,4,9,0,3,0,0,0,0,0,0,9,14,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3881,0.1577,-0.00014927,6.61e-08,-1.11e-11,-458.61,108.51
cfoh_cis,O[C]F,1,0,1,0,1,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9553,0.027276,-2.21e-05,8.77e-09,-1.35e-12,-159.77,59.289
